scenario,repeat,seed,test_size,scaling,model,accuracy,f1_weighted,kappa,roc_auc_ovr
multi_class,0,42,0.3,none,DT,0.7277777777777777,0.7232675604837339,0.659164917120999,0.8487278432692337
multi_class,0,42,0.3,none,SVM,0.9437037037037037,0.9425532887725188,0.9298684640663885,0.9908958373468477
multi_class,0,42,0.3,none,KNN,0.9077777777777778,0.9037431321609966,0.8846718155792029,0.9677652866430623
multi_class,0,42,0.3,none,XGBoost,0.912962962962963,0.9112145500070119,0.8914232030925135,0.9864453619793059
multi_class,0,42,0.3,none,Hybrid SVM-DT,0.8855555555555555,0.8835210210591802,0.85721703455714,0.9823630443310144
multi_class,0,42,0.3,none,Hybrid KNN-SVM,0.9444444444444444,0.9432338656566773,0.9308338804003369,0.9900615639845142
multi_class,0,42,0.3,standard,DT,0.7277777777777777,0.7232675604837339,0.659164917120999,0.8487278432692337
multi_class,0,42,0.3,standard,SVM,0.9451851851851852,0.9441401782383069,0.9317272260068012,0.9916501152181877
multi_class,0,42,0.3,standard,KNN,0.9007407407407407,0.8951947460838594,0.8753445209730776,0.9671985922518277
multi_class,0,42,0.3,standard,XGBoost,0.912962962962963,0.9112145500070119,0.8914232030925135,0.9864453619793059
multi_class,0,42,0.3,standard,Hybrid SVM-DT,0.88,0.8778460426621246,0.8502347657358784,0.9839044952277135
multi_class,0,42,0.3,standard,Hybrid KNN-SVM,0.9451851851851852,0.9441519183686156,0.931730421955879,0.99045964192964
multi_class,0,42,0.3,minmax,DT,0.7277777777777777,0.7232675604837339,0.659164917120999,0.8487278432692337
multi_class,0,42,0.3,minmax,SVM,0.9444444444444444,0.9434765024699281,0.9308001400400129,0.9917368247140298
multi_class,0,42,0.3,minmax,KNN,0.8992592592592593,0.8936647603944476,0.8734817029114713,0.9690949959928096
multi_class,0,42,0.3,minmax,XGBoost,0.9159259259259259,0.9143321971989246,0.8951485549438508,0.9867473293814678
multi_class,0,42,0.3,minmax,Hybrid SVM-DT,0.8781481481481481,0.8759026034656087,0.8478828435890402,0.9838474761943268
multi_class,0,42,0.3,minmax,Hybrid KNN-SVM,0.9462962962962963,0.9454564598855871,0.9331171099758009,0.990628438764545
multi_class,0,42,0.3,robust,DT,0.7277777777777777,0.7232675604837339,0.659164917120999,0.8487278432692337
multi_class,0,42,0.3,robust,SVM,0.9448148148148148,0.9437817102014858,0.9312735323661858,0.9916532796771459
multi_class,0,42,0.3,robust,KNN,0.9003703703703704,0.894710212741309,0.8749003793293331,0.9689660567422613
multi_class,0,42,0.3,robust,XGBoost,0.912962962962963,0.9112145500070119,0.8914232030925135,0.9864453619793059
multi_class,0,42,0.3,robust,Hybrid SVM-DT,0.8803703703703704,0.878227827225165,0.8507094255231589,0.9838962135538674
multi_class,0,42,0.3,robust,Hybrid KNN-SVM,0.9455555555555556,0.9445614805995074,0.9321967302731606,0.9904580306006575
multi_class,1,43,0.3,none,DT,0.7496296296296296,0.744996825564295,0.6879609017676915,0.879996028374589
multi_class,1,43,0.3,none,SVM,0.9396296296296296,0.9385217821774229,0.9248770226106335,0.9893479624711627
multi_class,1,43,0.3,none,KNN,0.902962962962963,0.8987706979915687,0.8786968190409984,0.9736846306993633
multi_class,1,43,0.3,none,XGBoost,0.9092592592592592,0.9069637929722943,0.8868882733148661,0.9872538369528906
multi_class,1,43,0.3,none,Hybrid SVM-DT,0.8985185185185185,0.896446482425045,0.8737059253226107,0.9833222669698359
multi_class,1,43,0.3,none,Hybrid KNN-SVM,0.9388888888888889,0.9376409930644726,0.9239405196083218,0.9887250393361439
multi_class,1,43,0.3,standard,DT,0.7496296296296296,0.744996825564295,0.6879609017676915,0.879996028374589
multi_class,1,43,0.3,standard,SVM,0.9385185185185185,0.9372636278756986,0.9234727590682732,0.9896876173120442
multi_class,1,43,0.3,standard,KNN,0.8951851851851852,0.8901368617891044,0.868699157653803,0.9716056748901877
multi_class,1,43,0.3,standard,XGBoost,0.9092592592592592,0.9069637929722943,0.8868882733148661,0.9872538369528906
multi_class,1,43,0.3,standard,Hybrid SVM-DT,0.8959259259259259,0.8938671547944722,0.8704554395397249,0.9831639357412111
multi_class,1,43,0.3,standard,Hybrid KNN-SVM,0.9366666666666666,0.9353193033085206,0.9211949824229138,0.9889508015243809
multi_class,1,43,0.3,minmax,DT,0.7496296296296296,0.744996825564295,0.6879609017676915,0.879996028374589
multi_class,1,43,0.3,minmax,SVM,0.9362962962962963,0.9350179937652304,0.920665358658691,0.989602456574962
multi_class,1,43,0.3,minmax,KNN,0.8922222222222222,0.8872411880701154,0.8649521995757949,0.9721998200446509
multi_class,1,43,0.3,minmax,XGBoost,0.9103703703703704,0.9081421622174805,0.8882613733043184,0.9871230084977434
multi_class,1,43,0.3,minmax,Hybrid SVM-DT,0.8933333333333333,0.8911636456749605,0.8671870329726636,0.9830772642832345
multi_class,1,43,0.3,minmax,Hybrid KNN-SVM,0.9388888888888889,0.9375069096565424,0.9239302986388902,0.9889999809059328
multi_class,1,43,0.3,robust,DT,0.7496296296296296,0.744996825564295,0.6879609017676915,0.879996028374589
multi_class,1,43,0.3,robust,SVM,0.9388888888888889,0.9376765767175406,0.9239449084573262,0.9896706981956448
multi_class,1,43,0.3,robust,KNN,0.8933333333333333,0.8882305052274648,0.8663499812054661,0.9722021887790264
multi_class,1,43,0.3,robust,XGBoost,0.9092592592592592,0.9069637929722943,0.8868882733148661,0.9872538369528906
multi_class,1,43,0.3,robust,Hybrid SVM-DT,0.8962962962962963,0.8941804847801551,0.8709271629687982,0.9831477447757443
multi_class,1,43,0.3,robust,Hybrid KNN-SVM,0.9366666666666666,0.9352873413957155,0.9211798204634395,0.9888921460888381
binary,0,42,0.3,none,DT,0.9555555555555556,0.9552537188293232,0.8806081027300947,0.9235677910074556
binary,0,42,0.3,none,SVM,0.9877777777777778,0.9877323423070449,0.9673603418262383,0.993254609840873
binary,0,42,0.3,none,KNN,0.9816666666666667,0.9815492938490356,0.9507872384847109,0.9890718788251697
binary,0,42,0.3,none,XGBoost,0.9805555555555555,0.9804758960720936,0.9480350656077918,0.9921876534158971
binary,0,42,0.3,none,Hybrid SVM-DT,0.9622222222222222,0.9621102880658435,0.8992619124434582,0.9913759810435228
binary,0,42,0.3,none,Hybrid KNN-SVM,0.9866666666666667,0.9866171006985944,0.9643931001740782,0.9936375359197753
binary,0,42,0.3,standard,DT,0.9555555555555556,0.9552537188293232,0.8806081027300947,0.9235677910074556
binary,0,42,0.3,standard,SVM,0.9844444444444445,0.9843747945430638,0.9583974430936454,0.992852046527155
binary,0,42,0.3,standard,KNN,0.9711111111111111,0.9706324693333214,0.9209929231267895,0.9885956758808936
binary,0,42,0.3,standard,XGBoost,0.9805555555555555,0.9804758960720936,0.9480350656077918,0.9921876534158971
binary,0,42,0.3,standard,Hybrid SVM-DT,0.96,0.9598513020957833,0.8931793005222345,0.9908735951194925
binary,0,42,0.3,standard,Hybrid KNN-SVM,0.9805555555555555,0.9804006338755518,0.947649895798364,0.9928635015807974
binary,0,42,0.3,minmax,DT,0.9555555555555556,0.9552537188293232,0.8806081027300947,0.9235677910074556
binary,0,42,0.3,minmax,SVM,0.9844444444444445,0.9843747945430638,0.9583974430936454,0.9931907888277225
binary,0,42,0.3,minmax,KNN,0.9722222222222222,0.971785532487842,0.9241458826385096,0.9876162687944701
binary,0,42,0.3,minmax,XGBoost,0.9805555555555555,0.9804758960720936,0.9480350656077918,0.9921876534158971
binary,0,42,0.3,minmax,Hybrid SVM-DT,0.9605555555555556,0.9604238303551087,0.8947403100136723,0.9911746993866637
binary,0,42,0.3,minmax,Hybrid KNN-SVM,0.9816666666666667,0.9815349980920404,0.9507143923930901,0.9930107808419136
binary,0,42,0.3,robust,DT,0.9555555555555556,0.9552537188293232,0.8806081027300947,0.9235677910074556
binary,0,42,0.3,robust,SVM,0.9838888888888889,0.9838105951344214,0.9568798881850894,0.9927456781719044
binary,0,42,0.3,robust,KNN,0.9722222222222222,0.971785532487842,0.9241458826385096,0.987765184491821
binary,0,42,0.3,robust,XGBoost,0.9805555555555555,0.9804758960720936,0.9480350656077918,0.9921876534158971
binary,0,42,0.3,robust,Hybrid SVM-DT,0.96,0.9598513020957833,0.8931793005222345,0.9907377709120186
binary,0,42,0.3,robust,Hybrid KNN-SVM,0.9811111111111112,0.9809680476937115,0.9491832789738344,0.992690039339927
binary,1,43,0.3,none,DT,0.9511111111111111,0.9513544946630472,0.8717051551201306,0.9285605579592986
