index,scenario,test_size,scaling,model,accuracy_mean,accuracy_std,f1_weighted_mean,f1_weighted_std,kappa_mean,kappa_std,roc_auc_ovr_mean,roc_auc_ovr_std
0,binary,0.3,minmax,DT,0.9533333333333334,0.003142696805273565,0.9533041067461852,0.0027571678493401625,0.8761566289251126,0.006295334627554163,0.9260641744833771,0.0035304193685322957
1,binary,0.3,minmax,Hybrid KNN-SVM,0.9827777777777778,0.0015713484026368216,0.9826540891167652,0.0015826337046958873,0.9537013989147209,0.00422426513378737,0.9923815711097002,0.0008898369368735588
2,binary,0.3,minmax,Hybrid SVM-DT,0.9588888888888889,0.002357022603955213,0.9588616935491974,0.0022091950572018714,0.8908738089263619,0.00546805827660473,0.9906502215734662,0.0007417236365877332
3,binary,0.3,minmax,KNN,0.9719444444444445,0.0003928371006592152,0.971521236627017,0.00037377079085793317,0.9234743964591683,0.0009496248617707027,0.989047741390709,0.002024407959766451
4,binary,0.3,minmax,SVM,0.9833333333333334,0.0015713484026368216,0.9832519027508353,0.0015880088016470434,0.9553907723371143,0.004252074561476783,0.9921901080702489,0.0014151762988248511
5,binary,0.3,minmax,XGBoost,0.9830555555555556,0.0035355339059327017,0.9829943266368698,0.003561598660601416,0.9547587807710276,0.009508769173381783,0.991230338218641,0.0013538481354253933
6,binary,0.3,none,DT,0.9533333333333334,0.003142696805273565,0.9533041067461852,0.0027571678493401625,0.8761566289251126,0.006295334627554163,0.9260641744833771,0.0035304193685322957
7,binary,0.3,none,Hybrid KNN-SVM,0.9866666666666667,0.0,0.986612033724896,7.16578292457955e-06,0.9643668828414586,3.707690735995429e-05,0.9925083949178837,0.001596846518706839
8,binary,0.3,none,Hybrid SVM-DT,0.9597222222222221,0.0035355339059327017,0.9597049224045648,0.003401700740646853,0.8931346101412548,0.008665314016535901,0.9907500441837784,0.0008852083962396501
9,binary,0.3,none,KNN,0.9813888888888889,0.0003928371006591367,0.9812586707713735,0.00041100309796825683,0.9499852587292726,0.0011341706468894674,0.9900492403662999,0.0013821979468082856
